ep_idx,data_cond_log_likelihood,data_mi_learned_marginal,data_mi_mc_marginal,data_mi_infonce,model_neg_cond_entropy,model_mi_reference_prior,model_mi_mc_marginal,model_mi_infonce,neg_h_data_cond,neg_h_model_cond,mi_data_direct,mi_data_mc_marginal,mi_model_direct,mi_model_mc_marginal
0,39.05263642514689,39.042300947596516,647.0546592380224,6.199199820238895,35.94789473930102,35.93966234400031,649.1036685571241,6.208860011129594,39.05263642514689,35.94789473930102,39.042300947596516,647.0546592380224,35.93966234400031,649.1036685571241
1,39.24671100839599,39.073218884906396,780.395192754634,6.23064796957903,35.86749806311137,35.68817329938033,786.1606460002804,6.226559987485107,39.24671100839599,35.86749806311137,39.073218884906396,780.395192754634,35.68817329938033,786.1606460002804
2,38.645709692465296,39.30538181098732,1192.926798237981,6.227738958087611,35.756294930947796,36.40973091125488,1199.7854842804575,6.225631875253104,38.645709692465296,35.756294930947796,39.30538181098732,1192.926798237981,36.40973091125488,1199.7854842804575
3,38.93905629184181,40.03782275192756,1269.2920491178136,6.222717302963808,35.866471145515725,36.96473623451747,1287.9486364890215,6.215658509642728,38.93905629184181,35.866471145515725,40.03782275192756,1269.2920491178136,36.96473623451747,1287.9486364890215
4,-371.0538384468235,-371.3280457265196,455.9448164331983,-149.19279984489225,35.85309223821986,35.55226945040519,1025.0767203660039,6.238324579248001,-371.0538384468235,35.85309223821986,-371.3280457265196,455.9448164331983,35.55226945040519,1025.0767203660039
5,38.62828853255824,38.801158120757655,1299.1600883822691,6.23593406385352,35.857637681459124,36.03679838306025,1295.922500629174,6.235697884894262,38.62828853255824,35.857637681459124,38.801158120757655,1299.1600883822691,36.03679838306025,1295.922500629174
6,38.62392170515565,39.37634696004118,1379.9879902385403,6.232047303172844,35.85102692287944,36.60636592641846,1395.1937866596127,6.231275707042451,38.62392170515565,35.85102692287944,39.37634696004118,1379.9879902385403,36.60636592641846,1395.1937866596127
7,39.01815377949365,40.18678900713478,1451.2865519236998,6.224948834811308,35.86276075227664,37.04129176322228,1461.9647559676666,6.218720911059931,39.01815377949365,35.86276075227664,40.18678900713478,1451.2865519236998,37.04129176322228,1461.9647559676666
8,38.8223300956146,38.70546932108918,985.852935573511,6.220698605780548,35.9335399426912,35.80995845794678,984.5996941502332,6.211252538850463,38.8223300956146,35.9335399426912,38.70546932108918,985.852935573511,35.80995845794678,984.5996941502332
9,38.843864398056205,39.46549232354325,1069.1689546724383,6.210080381904991,35.77855835603864,36.40237764294228,1061.310686631149,6.223423756622946,38.843864398056205,35.77855835603864,39.46549232354325,1069.1689546724383,36.40237764294228,1061.310686631149
10,38.44632449679904,38.87869254218207,1594.1971717622546,6.2271217366511324,35.76069768269857,36.187723837958444,1599.0425213800536,6.223243394441191,38.44632449679904,35.76069768269857,38.87869254218207,1594.1971717622546,36.187723837958444,1599.0425213800536
11,39.21129206867961,39.600765674145194,1494.2904237227006,6.227696517480367,35.892544585388976,36.283000460538,1504.8137532704836,6.2221702088034645,39.21129206867961,35.892544585388976,39.600765674145194,1494.2904237227006,36.283000460538,1504.8137532704836
12,-605.9698231045452,-606.2190760755119,164.61545010116444,-167.29160110777238,35.79641376842152,35.4904588716121,651.0187392528455,6.231906932519032,-605.9698231045452,35.79641376842152,-606.2190760755119,164.61545010116444,35.4904588716121,651.0187392528455
13,38.806650075045496,38.93543126908216,1785.5251586816528,6.227248808089983,35.810448386452414,35.93477175994353,1789.3545741994274,6.22433836683098,38.806650075045496,35.810448386452414,38.93543126908216,1785.5251586816528,35.93477175994353,1789.3545741994274
14,39.1421532713609,39.23651072882503,1568.6610175005962,6.233326171461063,35.91782593038041,36.018791827163255,1582.4859988772112,6.2311061430329895,39.1421532713609,35.91782593038041,39.23651072882503,1568.6610175005962,36.018791827163255,1582.4859988772112
15,38.7262132267434,39.817864495067546,1680.6993771555697,6.222268070495054,35.6350207315514,36.732615818884376,1678.7892960306663,6.215168741713551,38.7262132267434,35.6350207315514,39.817864495067546,1680.6993771555697,36.732615818884376,1678.7892960306663
16,-421.21598003833736,-421.2896600473558,491.46062407852213,-161.01162861376588,35.868578833789876,35.77527058423396,1003.7864633921462,6.234083366465699,-421.21598003833736,35.868578833789876,-421.2896600473558,491.46062407852213,35.77527058423396,1003.7864633921462
17,39.14908264075149,39.47441524516241,1284.5601007254343,6.2290457788643465,35.93231029032333,36.25603062196694,1293.0753835781702,6.225414318899603,39.14908264075149,35.93231029032333,39.47441524516241,1284.5601007254343,36.25603062196694,1293.0753835781702
18,39.17492869280387,38.971591363436936,1019.8410204624785,6.231619295815255,35.86929630887681,35.66260555101478,1019.6348582171012,6.230797860945201,39.17492869280387,35.86929630887681,38.971591363436936,1019.8410204624785,35.66260555101478,1019.6348582171012
19,38.921325024788096,39.70697612815581,1309.242878608385,6.220157780027576,35.92825032608755,36.713128305079216,1334.1853881493253,6.228130254888669,38.921325024788096,35.92825032608755,39.70697612815581,1309.242878608385,36.713128305079216,1334.1853881493253
20,38.22504274468673,38.64895188808441,1208.5494807582152,6.185015442013018,35.747082233428955,36.16876386968713,1202.4539233053986,6.206065683404041,38.22504274468673,35.747082233428955,38.64895188808441,1208.5494807582152,36.16876386968713,1202.4539233053986
21,-1059.5554226846084,-1058.5047546429223,133.47131334905174,-556.2621330323359,35.91554664038018,36.775813503849804,1099.3015242712079,6.230397489118873,-1059.5554226846084,35.91554664038018,-1058.5047546429223,133.47131334905174,36.775813503849804,1099.3015242712079
22,39.23161598642126,38.70835816178075,757.5164960294718,6.228640087050185,35.89532334538182,35.374058466191514,774.5425581243447,6.224528332792606,39.23161598642126,35.89532334538182,38.70835816178075,757.5164960294718,35.374058466191514,774.5425581243447
23,39.1313388523029,38.95395352210271,668.3559665835845,6.23188917359426,35.953887326191165,35.77626425303945,670.2112304365278,6.231001025615333,39.1313388523029,35.953887326191165,38.95395352210271,668.3559665835845,35.77626425303945,670.2112304365278
24,39.107646593426736,39.69125225669459,1022.1392507685189,6.229260348098452,35.93529773617055,36.5171294172715,1031.1014871610498,6.2267210728299,39.107646593426736,35.93529773617055,39.69125225669459,1022.1392507685189,36.5171294172715,1031.1014871610498
25,39.13176172235039,38.65701157859202,1306.9230841036592,6.232422093952151,35.88782332988268,35.40689318367605,1312.2271591143663,6.232155987246487,39.13176172235039,35.88782332988268,38.65701157859202,1306.9230841036592,35.40689318367605,1312.2271591143663
26,38.88563567661808,39.98087432033332,1139.425691690864,6.225444628637815,35.832070629110014,36.92232794355052,1149.2634851618332,6.230301090629268,38.88563567661808,35.832070629110014,39.98087432033332,1139.425691690864,36.92232794355052,1149.2634851618332
27,38.753374686201525,39.82349998072574,1472.9201971302402,6.234484464248755,35.78583506533974,36.85349043320421,1491.0683295759798,6.234415762618641,38.753374686201525,35.78583506533974,39.82349998072574,1472.9201971302402,36.85349043320421,1491.0683295759798
28,38.737545386373,39.110658874724834,885.4134372679215,6.221415262541576,35.916729069288884,36.28997460690291,882.3789544278683,6.215049129456477,38.737545386373,35.916729069288884,39.110658874724834,885.4134372679215,36.28997460690291,882.3789544278683
