ep_idx,data_cond_log_likelihood,data_mi_learned_marginal,data_mi_mc_marginal,data_mi_infonce,model_neg_cond_entropy,model_mi_reference_prior,model_mi_mc_marginal,model_mi_infonce,neg_h_data_cond,neg_h_model_cond,mi_data_direct,mi_data_mc_marginal,mi_model_direct,mi_model_mc_marginal
0,30.66863862182317,30.662049745575764,589.6498106463572,6.1678834395551565,35.48304504223084,35.48186657401953,584.4133040717478,6.205820039826584,30.66863862182317,35.48304504223084,30.662049745575764,589.6498106463572,35.48186657401953,584.4133040717478
1,30.80683613886076,30.691762937476707,630.0125020486731,6.166349857727404,35.41613611205375,35.27578515395481,628.8209885421902,6.225634877841933,30.80683613886076,35.41613611205375,30.691762937476707,630.0125020486731,35.27578515395481,628.8209885421902
2,31.974331268104347,32.614283039118796,886.6760089461868,6.2214561729270335,35.32565861263791,35.991684099145836,939.9016057156227,6.225610003204203,31.974331268104347,35.32565861263791,32.614283039118796,886.6760089461868,35.991684099145836,939.9016057156227
3,29.529736005159982,30.61593658727898,879.9245578749221,6.20923553149867,35.35292680126771,36.44162055798005,864.9907342275776,6.215130098378872,29.529736005159982,35.35292680126771,30.61593658727898,879.9245578749221,36.44162055798005,864.9907342275776
4,-370.8563727063742,-371.09907008751094,401.8430203554923,-172.37096599786148,35.46764983907778,35.18131106081065,882.4215433778819,6.2383246250393345,-370.8563727063742,35.46764983907778,-371.09907008751094,401.8430203554923,35.18131106081065,882.4215433778819
5,32.912831024119725,33.12015483253881,1145.1312792552144,6.235972958767042,35.34035847061559,35.53038481662148,1130.4737497317165,6.235595699654152,32.912831024119725,35.34035847061559,33.12015483253881,1145.1312792552144,35.53038481662148,1130.4737497317165
6,30.557546201190576,31.318961822222867,1144.0341053168422,6.223360562416011,35.284775114989216,36.034925498006075,1117.6038520183404,6.230599577490153,30.557546201190576,35.284775114989216,31.318961822222867,1144.0341053168422,36.034925498006075,1117.6038520183404
7,31.774972868747398,32.92384065826082,1246.5082763557225,6.198146309060949,35.42471198827191,36.572128952526654,1235.2153941230044,6.216158343477035,31.774972868747398,35.42471198827191,32.92384065826082,1246.5082763557225,36.572128952526654,1235.2153941230044
8,31.107667165890074,31.036307494194187,851.618822967797,6.218234266175639,35.54968739671317,35.49131467607286,874.2921255011307,6.209970115626931,31.107667165890074,35.54968739671317,31.036307494194187,851.618822967797,35.49131467607286,874.2921255011307
9,31.757666807496147,32.3949012595616,1017.7795172648483,6.152502006331801,35.331036106923996,35.99045654361168,1024.2091776065613,6.224132862727335,31.757666807496147,35.331036106923996,32.3949012595616,1017.7795172648483,35.99045654361168,1024.2091776065613
