ep_idx,data_cond_log_likelihood,data_mi_learned_marginal,data_mi_mc_marginal,data_mi_infonce,model_neg_cond_entropy,model_mi_reference_prior,model_mi_mc_marginal,model_mi_infonce,neg_h_data_cond,neg_h_model_cond,mi_data_direct,mi_data_mc_marginal,mi_model_direct,mi_model_mc_marginal
0,37.071570182114506,37.06430886300762,406.6995237650496,6.206749194169368,33.915610800968125,33.896919759471764,413.04597805323226,6.2058845229691375,37.071570182114506,33.915610800968125,37.06430886300762,406.6995237650496,33.896919759471764,413.04597805323226
1,37.203491699728794,37.033037244111384,509.74121131471935,6.231373803051593,33.86809105727002,33.67828099242824,507.01478274353366,6.226648187350042,37.203491699728794,33.86809105727002,37.033037244111384,509.74121131471935,33.67828099242824,507.01478274353366
2,36.84196361335548,37.50123992095123,787.7057502334183,6.226227288872011,33.805318270502866,34.44562408344166,790.2860369952949,6.223491840757192,36.84196361335548,33.805318270502866,37.50123992095123,787.7057502334183,34.44562408344166,790.2860369952949
3,37.05357615311544,38.1509291156569,936.2658772028592,6.2209703421236675,33.846435808481424,34.93622310857226,933.7755556974626,6.2139681718371,37.05357615311544,33.846435808481424,38.1509291156569,936.2658772028592,34.93622310857226,933.7755556974626
4,-266.5406060888056,-266.8105441073925,248.09651311238608,-123.70448295857304,33.87880021926255,33.57376303310283,576.9555096821479,6.23822712004474,-266.5406060888056,33.87880021926255,-266.8105441073925,248.09651311238608,33.57376303310283,576.9555096821479
5,36.847529762669616,37.0230102413579,874.9340123126382,6.2357997625595,33.874871147306344,34.031598812655396,876.4029258866059,6.234605623099056,36.847529762669616,33.874871147306344,37.0230102413579,874.9340123126382,34.031598812655396,876.4029258866059
6,37.110588222493035,37.86311815309657,879.9149634964286,6.232885887233396,33.87345048378437,34.621308207179844,887.1576231063907,6.230557469320728,37.110588222493035,33.87345048378437,37.86311815309657,879.9149634964286,34.621308207179844,887.1576231063907
7,37.12977999285922,38.29710107813767,1035.6412021970489,6.219924885543487,33.838491179252586,34.99008120343985,1032.8390921087214,6.209903579597207,37.12977999285922,33.838491179252586,38.29710107813767,1035.6412021970489,34.99008120343985,1032.8390921087214
8,36.936096927575896,36.821405723081,599.397262556511,6.219102509512819,33.9030059401752,33.777857646607515,604.9569229103669,6.20679802329538,36.936096927575896,33.9030059401752,36.821405723081,599.397262556511,33.777857646607515,604.9569229103669
9,37.19237633501546,37.81447056973918,736.5701484358713,6.213588180068371,33.863219137941854,34.47491404715549,735.570941010218,6.220495774270558,37.19237633501546,33.863219137941854,37.81447056973918,736.5701484358713,34.47491404715549,735.570941010218
10,37.10289094712999,37.53736153708564,921.626047706604,6.2264077357049015,33.79318226708306,34.21555370754666,918.4396857937177,6.220708659847523,37.10289094712999,33.79318226708306,37.53736153708564,921.626047706604,34.21555370754666,918.4396857937177
11,37.37105931368741,37.761898694719584,941.9670049147172,6.225854231037452,33.85524851811397,34.229565112621756,944.1441061453386,6.220027532568444,37.37105931368741,33.85524851811397,37.761898694719584,941.9670049147172,34.229565112621756,944.1441061453386
12,-480.87003065064505,-481.1161595971004,32.808691013593474,-167.40761824066718,33.81946532397676,33.46873436085989,409.9606585628476,6.229228099399898,-480.87003065064505,33.81946532397676,-481.1161595971004,32.808691013593474,33.46873436085989,409.9606585628476
